"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 31, 2019","7.42","7.35","7.42","7.23","28.77M","0.27%"
"Oct 30, 2019","7.40","7.39","7.50","7.25","29.71M","0.68%"
"Oct 29, 2019","7.35","7.36","7.51","7.31","34.67M","-0.14%"
"Oct 28, 2019","7.36","7.49","7.63","7.33","21.62M","-0.94%"
"Oct 25, 2019","7.43","7.49","7.64","7.40","16.55M","-0.80%"
"Oct 24, 2019","7.49","7.70","7.71","7.37","24.49M","-2.09%"
"Oct 23, 2019","7.65","7.81","7.86","7.65","15.81M","-2.05%"
"Oct 22, 2019","7.81","7.81","7.88","7.77","16.72M","0.00%"
"Oct 21, 2019","7.81","7.84","7.86","7.58","26.16M","-0.38%"
"Oct 18, 2019","7.84","7.89","7.96","7.74","13.74M","-0.76%"
"Oct 17, 2019","7.90","7.84","8.06","7.83","26.89M","1.02%"
"Oct 16, 2019","7.82","7.75","7.85","7.65","18.61M","0.39%"
"Oct 15, 2019","7.79","7.77","7.86","7.75","15.67M","0.13%"
"Oct 14, 2019","7.78","7.71","7.87","7.68","15.54M","0.39%"
"Oct 11, 2019","7.75","7.60","7.86","7.59","23.80M","2.92%"
"Oct 10, 2019","7.53","7.59","7.66","7.45","16.35M","-0.79%"
"Oct 09, 2019","7.59","7.82","7.86","7.49","28.55M","-1.68%"
"Oct 08, 2019","7.72","7.83","7.87","7.67","16.14M","-1.40%"
"Oct 07, 2019","7.83","7.81","7.95","7.75","15.18M","-0.76%"
"Oct 04, 2019","7.89","7.86","7.94","7.75","17.04M","1.15%"
"Oct 03, 2019","7.80","7.51","7.80","7.45","26.36M","4.42%"
"Oct 02, 2019","7.47","7.64","7.66","7.45","28.40M","-4.23%"
"Oct 01, 2019","7.80","7.95","8.03","7.72","21.40M","-1.52%"
"Sep 30, 2019","7.92","7.82","7.95","7.82","14.24M","0.64%"
"Sep 27, 2019","7.87","7.83","7.98","7.80","17.57M","0.13%"
"Sep 26, 2019","7.86","7.71","7.88","7.66","26.42M","2.88%"
"Sep 25, 2019","7.64","7.40","7.68","7.33","20.36M","2.28%"
"Sep 24, 2019","7.47","7.58","7.64","7.44","19.52M","-1.19%"
"Sep 23, 2019","7.56","7.53","7.60","7.38","26.32M","2.16%"
"Sep 20, 2019","7.40","7.40","7.57","7.30","27.63M","0.00%"
"Sep 19, 2019","7.40","7.17","7.48","7.17","45.28M","5.26%"
"Sep 18, 2019","7.03","7.00","7.11","6.97","15.43M","0.86%"
"Sep 17, 2019","6.97","6.84","7.08","6.81","16.60M","0.29%"
"Sep 16, 2019","6.95","6.85","7.04","6.68","14.98M","0.58%"
"Sep 13, 2019","6.91","7.08","7.16","6.85","17.74M","-2.68%"
"Sep 12, 2019","7.10","7.05","7.17","6.92","19.02M","1.72%"
"Sep 11, 2019","6.98","7.04","7.08","6.91","39.81M","2.95%"
"Sep 10, 2019","6.78","6.78","6.84","6.60","54.75M","-3.28%"
"Sep 09, 2019","7.01","7.38","7.40","6.95","33.49M","-5.01%"
"Sep 06, 2019","7.38","7.57","7.59","7.34","17.50M","-2.25%"
"Sep 05, 2019","7.55","7.65","7.73","7.55","18.10M","-0.92%"
"Sep 04, 2019","7.62","7.73","7.76","7.51","22.60M","0.79%"
"Sep 03, 2019","7.56","7.70","7.92","7.54","26.93M","-2.95%"
"Sep 02, 2019","7.79","7.60","7.94","7.54","26.46M","0.78%"
"Aug 30, 2019","7.73","7.49","7.73","7.18","57.07M","5.75%"
"Aug 29, 2019","7.31","7.11","7.37","7.10","30.85M","4.43%"
"Aug 28, 2019","7.00","6.80","7.04","6.70","30.30M","2.19%"
"Aug 27, 2019","6.85","6.60","6.85","6.46","29.21M","5.71%"
"Aug 26, 2019","6.48","6.90","6.94","6.40","28.28M","-4.57%"
"Aug 23, 2019","6.79","6.78","7.09","6.65","29.67M","-1.59%"
"Aug 22, 2019","6.90","7.18","7.20","6.90","19.67M","-3.90%"
"Aug 21, 2019","7.18","7.20","7.28","6.97","35.44M","1.70%"
"Aug 20, 2019","7.06","6.72","7.11","6.32","74.90M","4.90%"
"Aug 19, 2019","6.73","7.13","7.22","6.60","54.52M","-5.48%"
"Aug 16, 2019","7.12","7.98","8.00","6.89","65.84M","-7.41%"
"Aug 15, 2019","7.69","7.98","8.32","7.43","62.87M","-5.18%"
"Aug 14, 2019","8.11","8.35","8.66","8.01","51.86M","-4.14%"
"Aug 13, 2019","8.46","8.45","8.57","8.36","22.26M","2.17%"
"Aug 12, 2019","8.28","8.47","8.50","8.26","18.83M","-2.93%"
"Aug 09, 2019","8.53","8.48","8.64","8.40","20.36M","0.00%"
"Aug 08, 2019","8.53","8.54","8.66","8.51","21.71M","1.07%"
"Aug 07, 2019","8.44","8.09","8.49","7.98","29.68M","3.18%"
"Aug 06, 2019","8.18","8.10","8.27","8.02","24.39M","3.28%"
"Aug 05, 2019","7.92","7.96","8.15","7.81","33.44M","-3.30%"
"Aug 02, 2019","8.19","8.30","8.36","8.03","26.81M","-0.12%"
"Aug 01, 2019","8.20","7.85","8.36","7.84","69.92M","6.22%"
"Jul 31, 2019","7.72","7.72","7.79","7.54","25.61M","1.31%"
"Jul 30, 2019","7.62","7.65","7.87","7.57","41.83M","-0.78%"
"Jul 29, 2019","7.68","7.30","7.74","7.19","38.94M","4.63%"
"Jul 26, 2019","7.34","7.18","7.34","7.04","26.69M","3.38%"
"Jul 25, 2019","7.10","7.40","7.42","7.07","34.34M","-3.01%"
"Jul 24, 2019","7.32","6.98","7.33","6.94","32.87M","5.78%"
"Jul 23, 2019","6.92","7.08","7.08","6.87","23.54M","-1.84%"
"Jul 22, 2019","7.05","7.22","7.29","6.91","29.95M","-1.40%"
"Jul 19, 2019","7.15","7.38","7.45","7.05","32.20M","-3.12%"
"Jul 18, 2019","7.38","7.29","7.50","7.26","36.87M","0.96%"
"Jul 17, 2019","7.31","7.13","7.34","7.02","41.46M","2.52%"
"Jul 16, 2019","7.13","7.19","7.21","7.02","44.63M","1.42%"
"Jul 15, 2019","7.03","6.90","7.03","6.73","59.45M","7.82%"
"Jul 12, 2019","6.52","6.61","6.69","6.26","59.38M","0.31%"
"Jul 11, 2019","6.50","6.87","6.90","6.45","54.14M","-3.42%"
"Jul 10, 2019","6.73","7.18","7.35","6.62","108.72M","-0.30%"
"Jul 08, 2019","6.75","6.46","6.84","6.41","52.26M","6.30%"
"Jul 05, 2019","6.35","6.23","6.49","6.10","45.54M","1.76%"
"Jul 04, 2019","6.24","6.14","6.33","6.06","57.90M","5.23%"
"Jul 03, 2019","5.93","5.51","6.00","5.51","82.15M","8.81%"
"Jul 02, 2019","5.45","5.13","5.45","5.12","50.42M","6.45%"
"Jul 01, 2019","5.12","5.10","5.13","5.05","21.32M","0.99%"
"Jun 28, 2019","5.07","5.01","5.10","4.98","23.36M","2.01%"
"Jun 27, 2019","4.97","4.98","5.02","4.84","20.83M","-0.20%"
"Jun 26, 2019","4.98","5.07","5.09","4.97","18.35M","-1.19%"
"Jun 25, 2019","5.04","5.10","5.12","4.98","16.73M","-1.37%"
"Jun 24, 2019","5.11","5.12","5.14","5.07","14.81M","0.20%"
"Jun 21, 2019","5.10","5.07","5.16","5.03","16.18M","0.79%"
"Jun 19, 2019","5.06","5.11","5.13","4.96","20.41M","-0.20%"
"Jun 18, 2019","5.07","5.14","5.23","5.04","29.39M","0.00%"
"Jun 17, 2019","5.07","5.01","5.07","4.98","28.85M","2.01%"
"Jun 14, 2019","4.97","4.97","5.15","4.90","539.24M","-1.39%"
"Jun 13, 2019","5.04","4.87","5.08","4.83","42.23M","4.13%"
"Jun 12, 2019","4.84","4.81","4.94","4.78","53.70M","-3.20%"
"Jun 11, 2019","5.00","5.10","5.11","4.97","15.00M","-1.19%"
"Jun 10, 2019","5.06","4.95","5.08","4.91","14.25M","1.20%"
"Jun 07, 2019","5.00","4.97","5.03","4.88","16.45M","1.01%"
"Jun 06, 2019","4.95","5.01","5.03","4.72","36.45M","6.45%"
"Jun 05, 2019","4.65","4.78","4.84","4.62","17.25M","-4.32%"
"Jun 04, 2019","4.86","5.14","5.22","4.86","27.32M","-2.02%"
"Jun 03, 2019","4.96","4.90","4.96","4.76","22.46M","5.53%"
"May 31, 2019","4.70","4.74","4.83","4.65","15.91M","-2.08%"
"May 30, 2019","4.80","4.68","4.92","4.63","32.51M","4.80%"
"May 29, 2019","4.58","4.45","4.59","4.44","17.12M","3.85%"
"May 28, 2019","4.41","4.29","4.41","4.27","10.26M","3.52%"
"May 27, 2019","4.26","4.24","4.32","4.24","5.16M","1.43%"
"May 24, 2019","4.20","4.26","4.28","4.16","6.66M","0.00%"
"May 23, 2019","4.20","4.26","4.30","4.18","9.76M","-2.78%"
"May 22, 2019","4.32","4.35","4.42","4.23","15.11M","0.23%"
"May 21, 2019","4.31","4.14","4.32","4.12","15.21M","4.87%"
"May 20, 2019","4.11","4.05","4.20","4.00","12.47M","1.99%"
"May 17, 2019","4.03","4.09","4.17","3.97","19.62M","-1.47%"
"May 16, 2019","4.09","4.28","4.36","4.06","22.74M","-4.88%"
"May 15, 2019","4.30","4.51","4.52","4.30","19.13M","-5.49%"
"May 14, 2019","4.55","4.83","4.85","4.55","23.37M","-3.81%"
"May 13, 2019","4.73","4.51","4.76","4.46","33.75M","2.60%"
"May 10, 2019","4.61","4.77","4.80","4.55","25.10M","-2.74%"
"May 09, 2019","4.74","4.45","4.75","4.33","31.85M","4.64%"
"May 08, 2019","4.53","4.79","4.92","4.51","33.92M","-4.03%"
"May 07, 2019","4.72","4.62","4.72","4.60","22.42M","3.51%"
"May 06, 2019","4.56","4.44","4.68","4.41","22.95M","0.88%"
"May 03, 2019","4.52","4.43","4.55","4.37","35.78M","9.18%"
"May 02, 2019","4.14","4.07","4.14","4.03","7.97M","0.98%"
"Apr 30, 2019","4.10","4.15","4.21","4.06","11.99M","-0.49%"
"Apr 29, 2019","4.12","4.09","4.16","4.05","11.58M","2.23%"
"Apr 26, 2019","4.03","4.04","4.08","3.99","12.33M","0.25%"
"Apr 25, 2019","4.02","3.97","4.11","3.97","23.03M","2.29%"
"Apr 24, 2019","3.93","3.89","4.06","3.86","16.88M","0.00%"
"Apr 23, 2019","3.93","3.87","4.03","3.87","19.58M","2.34%"
"Apr 22, 2019","3.84","3.95","3.98","3.80","11.12M","-2.78%"
"Apr 18, 2019","3.95","3.96","3.99","3.90","16.40M","0.77%"
"Apr 17, 2019","3.92","4.04","4.11","3.89","24.74M","-2.24%"
"Apr 16, 2019","4.01","4.15","4.17","3.99","20.77M","-3.37%"
"Apr 15, 2019","4.15","4.20","4.23","4.12","6.50M","-0.24%"
"Apr 12, 2019","4.16","4.24","4.27","4.12","10.74M","-3.03%"
"Apr 11, 2019","4.29","4.33","4.34","4.24","7.16M","-0.46%"
"Apr 10, 2019","4.31","4.39","4.39","4.28","4.79M","-0.69%"
"Apr 09, 2019","4.34","4.39","4.41","4.31","5.33M","-0.69%"
"Apr 08, 2019","4.37","4.57","4.60","4.37","9.47M","-3.53%"
"Apr 05, 2019","4.53","4.41","4.57","4.35","10.54M","3.42%"
"Apr 04, 2019","4.38","4.40","4.45","4.26","10.76M","0.00%"
"Apr 03, 2019","4.38","4.65","4.68","4.38","18.28M","-3.74%"
"Apr 02, 2019","4.55","4.29","4.62","4.21","14.69M","6.56%"
"Apr 01, 2019","4.27","4.29","4.32","4.23","4.47M","1.18%"
"Mar 29, 2019","4.22","4.25","4.29","4.18","11.21M","0.96%"
"Mar 28, 2019","4.18","4.15","4.24","4.01","13.51M","1.70%"
"Mar 27, 2019","4.11","4.33","4.33","4.03","17.72M","-5.73%"
"Mar 26, 2019","4.36","4.38","4.43","4.33","6.56M","0.69%"
"Mar 25, 2019","4.33","4.34","4.38","4.23","7.79M","0.00%"
"Mar 22, 2019","4.33","4.45","4.48","4.32","12.37M","-4.84%"
"Mar 21, 2019","4.55","4.59","4.61","4.39","12.57M","-0.66%"
"Mar 20, 2019","4.58","4.66","4.67","4.58","5.49M","-1.29%"
"Mar 19, 2019","4.64","4.61","4.68","4.59","7.19M","1.09%"
"Mar 18, 2019","4.59","4.57","4.59","4.53","6.74M","1.10%"
"Mar 15, 2019","4.54","4.67","4.69","4.54","8.04M","-2.16%"
"Mar 14, 2019","4.64","4.66","4.71","4.57","8.80M","0.43%"
"Mar 13, 2019","4.62","4.82","4.84","4.61","13.75M","-4.55%"
"Mar 12, 2019","4.84","4.76","4.88","4.74","10.57M","1.68%"
"Mar 11, 2019","4.76","4.69","4.85","4.68","10.63M","1.71%"
"Mar 08, 2019","4.68","4.40","4.68","4.39","15.02M","6.12%"
"Mar 07, 2019","4.41","4.38","4.54","4.33","16.02M","0.46%"
"Mar 06, 2019","4.39","4.54","4.56","4.39","8.51M","-3.30%"
"Mar 01, 2019","4.54","4.64","4.68","4.46","11.07M","-0.87%"
"Feb 28, 2019","4.58","4.68","4.77","4.56","23.59M","-1.29%"
"Feb 27, 2019","4.64","4.80","4.83","4.64","26.25M","-2.73%"
"Feb 26, 2019","4.77","4.95","5.01","4.75","21.23M","-4.02%"
"Feb 25, 2019","4.97","4.74","5.04","4.65","63.83M","5.30%"
"Feb 22, 2019","4.72","4.67","4.84","4.36","28.52M","1.07%"
"Feb 21, 2019","4.67","5.05","5.06","4.67","46.22M","-10.36%"
"Feb 20, 2019","5.21","5.10","5.36","5.00","40.09M","-1.33%"
"Feb 19, 2019","5.28","5.49","5.51","5.26","15.06M","-3.47%"
"Feb 18, 2019","5.47","5.27","5.47","5.17","9.58M","3.60%"
"Feb 15, 2019","5.28","5.43","5.48","5.25","9.59M","-3.12%"
"Feb 14, 2019","5.45","5.50","5.52","5.16","22.58M","0.00%"
"Feb 13, 2019","5.45","5.61","5.62","5.37","14.90M","-1.98%"
"Feb 12, 2019","5.56","5.61","5.64","5.53","10.54M","0.72%"
"Feb 11, 2019","5.52","5.62","5.65","5.42","12.08M","-0.72%"
"Feb 08, 2019","5.56","5.49","5.68","5.41","19.20M","2.02%"
"Feb 07, 2019","5.45","5.33","5.63","5.25","21.48M","3.02%"
"Feb 06, 2019","5.29","5.54","5.55","5.24","27.79M","-6.21%"
"Feb 05, 2019","5.64","5.99","6.04","5.64","22.38M","-5.84%"
"Feb 04, 2019","5.99","5.98","6.06","5.83","15.26M","0.50%"
"Feb 01, 2019","5.96","6.00","6.16","5.93","21.98M","-0.67%"
"Jan 31, 2019","6.00","5.80","6.03","5.70","29.41M","3.99%"
"Jan 30, 2019","5.77","5.78","5.87","5.65","29.52M","1.76%"
"Jan 29, 2019","5.67","5.46","5.67","5.42","24.00M","5.98%"
"Jan 28, 2019","5.35","5.39","5.72","5.30","31.36M","-2.55%"
"Jan 24, 2019","5.49","5.20","5.52","5.17","30.92M","6.40%"
"Jan 23, 2019","5.16","5.00","5.17","4.98","24.21M","4.67%"
"Jan 22, 2019","4.93","4.76","5.04","4.70","21.08M","2.71%"
"Jan 21, 2019","4.80","4.88","4.96","4.74","10.16M","-1.64%"
"Jan 18, 2019","4.88","4.97","5.05","4.79","16.11M","-1.01%"
"Jan 17, 2019","4.93","5.09","5.10","4.88","19.64M","-2.38%"
"Jan 16, 2019","5.05","5.05","5.19","5.03","17.63M","1.41%"
"Jan 15, 2019","4.98","4.87","5.18","4.86","32.47M","3.32%"
"Jan 14, 2019","4.82","4.51","4.88","4.45","18.70M","6.87%"
"Jan 11, 2019","4.51","4.50","4.55","4.33","23.52M","2.04%"
"Jan 10, 2019","4.42","4.27","4.42","3.95","30.15M","10.22%"
"Jan 09, 2019","4.01","4.08","4.09","3.86","18.06M","-0.74%"
"Jan 08, 2019","4.04","4.27","4.27","4.00","11.95M","-4.72%"
"Jan 07, 2019","4.24","4.30","4.37","4.19","5.41M","-0.70%"
"Jan 04, 2019","4.27","4.31","4.37","4.21","5.95M","-0.93%"
"Jan 03, 2019","4.31","4.20","4.40","4.16","8.41M","-1.60%"
"Jan 02, 2019","4.38","4.40","4.48","4.35","9.23M","-0.23%"
"Dec 28, 2018","4.39","4.35","4.49","4.35","6.73M","1.62%"
"Dec 27, 2018","4.32","4.31","4.45","4.26","61.99M","0.47%"
"Dec 26, 2018","4.30","4.22","4.46","4.14","11.66M","-5.70%"
"Dec 21, 2018","4.56","4.62","4.64","4.52","3.66M","-0.44%"
"Dec 20, 2018","4.58","4.70","4.80","4.48","9.19M","-1.72%"
"Dec 19, 2018","4.66","4.66","4.78","4.62","12.21M","1.75%"
"Dec 18, 2018","4.58","4.39","4.66","4.35","10.71M","5.05%"
"Dec 17, 2018","4.36","4.38","4.48","4.31","6.83M","0.23%"
"Dec 14, 2018","4.35","4.65","4.69","4.33","13.03M","-7.45%"
"Dec 13, 2018","4.70","4.85","4.85","4.60","12.77M","-1.67%"
"Dec 12, 2018","4.78","4.99","5.02","4.76","9.75M","-3.43%"
"Dec 11, 2018","4.95","4.96","5.05","4.83","4.01M","1.64%"
