"Date","Price","Open","High","Low","Change %"
"Aug 30, 2019","10,291.043","10,291.043","10,291.043","10,291.043","0.02%"
"Aug 29, 2019","10,288.702","10,288.702","10,288.702","10,288.702","0.05%"
"Aug 28, 2019","10,284.022","10,284.022","10,284.022","10,284.022","0.00%"
"Aug 27, 2019","10,284.022","10,284.022","10,284.022","10,284.022","0.02%"
"Aug 26, 2019","10,281.683","10,281.683","10,281.683","10,281.683","0.07%"
"Aug 25, 2019","10,274.669","10,274.669","10,274.669","10,274.669","0.00%"
"Aug 23, 2019","10,274.669","10,274.669","10,274.669","10,274.669","0.00%"
"Aug 22, 2019","10,274.669","10,274.669","10,274.669","10,274.669","0.00%"
"Aug 21, 2019","10,274.669","10,274.669","10,274.669","10,274.669","0.02%"
"Aug 20, 2019","10,272.332","10,272.332","10,272.332","10,272.332","0.05%"
"Aug 19, 2019","10,267.659","10,267.659","10,267.659","10,267.659","0.00%"
"Aug 18, 2019","10,267.659","10,267.659","10,267.659","10,267.659","0.00%"
"Aug 16, 2019","10,267.659","10,267.659","10,267.659","10,267.659","0.02%"
"Aug 15, 2019","10,265.313","10,265.313","10,265.313","10,265.313","0.02%"
"Aug 14, 2019","10,262.978","10,262.978","10,262.978","10,262.978","0.02%"
"Aug 13, 2019","10,260.644","10,260.644","10,260.644","10,260.644","0.05%"
"Aug 12, 2019","10,255.977","10,255.980","10,255.980","10,255.980","0.00%"
"Aug 11, 2019","10,255.977","10,255.977","10,255.977","10,255.977","0.00%"
"Aug 09, 2019","10,255.977","10,255.980","10,255.980","10,255.980","0.02%"
"Aug 08, 2019","10,253.644","10,253.640","10,253.640","10,253.640","0.05%"
"Aug 07, 2019","10,248.980","10,248.980","10,248.980","10,248.980","0.00%"
"Aug 06, 2019","10,248.980","10,248.980","10,248.980","10,248.980","0.02%"
"Aug 05, 2019","10,246.649","10,246.650","10,246.650","10,246.650","0.02%"
"Aug 04, 2019","10,244.318","10,244.318","10,244.318","10,244.318","0.00%"
"Aug 02, 2019","10,244.318","10,244.320","10,244.320","10,244.320","0.05%"
"Aug 01, 2019","10,239.276","10,239.280","10,239.280","10,239.280","0.00%"
"Jul 31, 2019","10,239.276","10,239.280","10,239.280","10,239.280","0.02%"
"Jul 30, 2019","10,236.755","10,236.760","10,236.760","10,236.760","0.05%"
"Jul 29, 2019","10,231.706","10,231.710","10,231.710","10,231.710","0.00%"
"Jul 28, 2019","10,231.706","10,231.706","10,231.706","10,231.706","0.00%"
"Jul 26, 2019","10,231.706","10,231.710","10,231.710","10,231.710","0.02%"
"Jul 25, 2019","10,229.188","10,229.190","10,229.190","10,229.190","0.02%"
"Jul 24, 2019","10,226.670","10,226.670","10,226.670","10,226.670","0.20%"
"Jul 23, 2019","10,206.550","10,206.550","10,206.550","10,206.550","0.00%"
"Jul 22, 2019","10,206.550","10,206.550","10,206.550","10,206.550","0.00%"
"Jul 21, 2019","10,206.550","10,206.550","10,206.550","10,206.550","0.00%"
"Jul 19, 2019","10,206.550","10,206.550","10,206.550","10,206.550","0.00%"
"Jul 18, 2019","10,206.550","10,206.550","10,206.550","10,206.550","0.00%"
"Jul 17, 2019","10,206.550","10,206.550","10,206.550","10,206.550","0.00%"
"Jul 16, 2019","10,206.550","10,206.550","10,206.550","10,206.550","0.00%"
"Jul 15, 2019","10,206.550","10,206.550","10,206.550","10,206.550","0.00%"
"Jul 14, 2019","10,206.550","10,206.550","10,206.550","10,206.550","0.00%"
"Jul 12, 2019","10,206.550","10,206.550","10,206.550","10,206.550","0.05%"
"Jul 11, 2019","10,201.516","10,201.520","10,201.520","10,201.520","0.00%"
"Jul 10, 2019","10,201.516","10,201.520","10,201.520","10,201.520","0.02%"
"Jul 09, 2019","10,199.005","10,199.010","10,199.010","10,199.010","0.25%"
"Jul 08, 2019","10,173.929","10,173.930","10,173.930","10,173.930","0.00%"
"Jul 07, 2019","10,173.929","10,173.929","10,173.929","10,173.929","0.00%"
"Jul 05, 2019","10,173.929","10,173.930","10,173.930","10,173.930","0.00%"
"Jul 04, 2019","10,173.929","10,173.930","10,173.930","10,173.930","0.00%"
"Jul 03, 2019","10,173.929","10,173.930","10,173.930","10,173.930","0.00%"
"Jul 02, 2019","10,173.929","10,173.930","10,173.930","10,173.930","0.00%"
"Jul 01, 2019","10,173.929","10,173.930","10,173.930","10,173.930","0.00%"
"Jun 30, 2019","10,173.929","10,173.929","10,173.929","10,173.929","0.00%"
"Jun 28, 2019","10,173.929","10,173.930","10,173.930","10,173.930","0.00%"
"Jun 27, 2019","10,173.929","10,173.930","10,173.930","10,173.930","0.00%"
"Jun 26, 2019","10,173.929","10,173.930","10,173.930","10,173.930","0.00%"
"Jun 25, 2019","10,173.929","10,173.930","10,173.930","10,173.930","0.02%"
"Jun 24, 2019","10,171.415","10,171.420","10,171.420","10,171.420","0.02%"
"Jun 23, 2019","10,168.911","10,168.911","10,168.911","10,168.911","0.00%"
"Jun 21, 2019","10,168.911","10,168.910","10,168.910","10,168.910","0.00%"
"Jun 20, 2019","10,168.911","10,168.910","10,168.910","10,168.910","0.02%"
"Jun 19, 2019","10,166.408","10,166.410","10,166.410","10,166.410","0.02%"
"Jun 18, 2019","10,163.906","10,163.910","10,163.910","10,163.910","0.02%"
"Jun 17, 2019","10,161.404","10,161.400","10,161.400","10,161.400","0.02%"
"Jun 16, 2019","10,158.903","10,158.903","10,158.903","10,158.903","0.00%"
"Jun 14, 2019","10,158.903","10,158.900","10,158.900","10,158.900","0.02%"
"Jun 13, 2019","10,156.402","10,156.400","10,156.400","10,156.400","0.02%"
"Jun 12, 2019","10,153.902","10,153.900","10,153.900","10,153.900","0.02%"
"Jun 11, 2019","10,151.403","10,151.400","10,151.400","10,151.400","0.02%"
"Jun 10, 2019","10,148.904","10,148.900","10,148.900","10,148.900","0.02%"
"Jun 09, 2019","10,146.406","10,146.406","10,146.406","10,146.406","0.00%"
"Jun 07, 2019","10,146.406","10,146.410","10,146.410","10,146.410","0.02%"
"Jun 06, 2019","10,143.909","10,143.910","10,143.910","10,143.910","0.02%"
"Jun 05, 2019","10,141.412","10,141.410","10,141.410","10,141.410","0.02%"
"Jun 04, 2019","10,138.906","10,138.910","10,138.910","10,138.910","0.02%"
"Jun 03, 2019","10,136.410","10,136.410","10,136.410","10,136.410","0.02%"
"Jun 02, 2019","10,133.915","10,133.915","10,133.915","10,133.915","0.00%"
"May 31, 2019","10,133.915","10,133.920","10,133.920","10,133.920","0.02%"
"May 30, 2019","10,131.421","10,131.420","10,131.420","10,131.420","0.02%"
